slice_value,count,percentage,expected_pct,deviation_pct,is_underrepresented,is_overrepresented
0,2192,4.17,4.17,0.08,False,False
1,2192,4.17,4.17,0.08,False,False
10,2192,4.17,4.17,0.08,False,False
11,2192,4.17,4.17,0.08,False,False
12,2192,4.17,4.17,0.08,False,False
13,2192,4.17,4.17,0.08,False,False
14,2192,4.17,4.17,0.08,False,False
15,2192,4.17,4.17,0.08,False,False
16,2192,4.17,4.17,0.08,False,False
17,2192,4.17,4.17,0.08,False,False
18,2192,4.17,4.17,0.08,False,False
19,2192,4.17,4.17,0.08,False,False
2,2192,4.17,4.17,0.08,False,False
20,2192,4.17,4.17,0.08,False,False
21,2192,4.17,4.17,0.08,False,False
22,2192,4.17,4.17,0.08,False,False
23,2192,4.17,4.17,0.08,False,False
3,2192,4.17,4.17,0.08,False,False
4,2192,4.17,4.17,0.08,False,False
5,2192,4.17,4.17,0.08,False,False
6,2192,4.17,4.17,0.08,False,False
7,2192,4.17,4.17,0.08,False,False
8,2192,4.17,4.17,0.08,False,False
9,2192,4.17,4.17,0.08,False,False
