slice_value,count,percentage,expected_pct,deviation_pct,is_underrepresented,is_overrepresented
1,8928,8.47,8.33,1.64,False,False
10,8928,8.47,8.33,1.64,False,False
11,8640,8.2,8.33,-1.6,False,False
12,8928,8.47,8.33,1.64,False,False
2,8352,7.92,8.33,-4.96,False,False
3,8928,8.47,8.33,1.64,False,False
4,8640,8.2,8.33,-1.6,False,False
5,8928,8.47,8.33,1.64,False,False
6,8640,8.2,8.33,-1.6,False,False
7,8928,8.47,8.33,1.64,False,False
8,8928,8.47,8.33,1.64,False,False
9,8640,8.2,8.33,-1.6,False,False
