month,count,mean,std,min,median,max,missing_pct
1,4464,318.09,105.35,90.0,301.5,647.0,50.0
10,4464,333.11,80.08,118.0,329.5,533.0,50.0
11,4320,297.49,88.13,91.0,301.0,519.0,50.0
12,4464,307.57,96.11,80.0,296.0,571.0,50.0
2,4176,286.14,86.58,112.0,278.0,513.0,50.0
3,4464,272.09,87.45,71.0,268.5,499.0,50.0
4,4320,265.62,101.71,42.0,256.5,537.0,50.0
5,4464,240.31,138.6,22.0,257.0,585.0,50.0
6,4320,285.67,132.4,28.0,288.0,648.0,50.0
7,4464,310.42,128.29,89.0,313.0,641.0,50.0
8,4464,313.11,116.02,101.0,314.0,632.0,50.0
9,4320,310.88,90.38,78.0,312.0,544.0,50.0
