hour_of_day,count,mean,std,min,median,max,missing_pct
0,4746,360.52,141.02,25.0,378.0,893.0,0.0
1,4746,384.71,148.43,21.0,415.0,809.0,0.0
10,4746,382.72,143.78,24.0,378.0,963.0,0.0
11,4746,383.09,136.19,23.0,388.0,888.0,0.0
12,4746,377.74,139.23,22.0,378.0,880.0,0.0
13,4746,375.12,132.74,27.0,393.0,981.0,0.0
14,4746,372.43,136.8,26.0,390.0,817.0,0.0
15,4746,354.42,130.49,22.0,373.0,868.0,0.0
16,4746,332.82,127.82,24.0,341.0,695.0,0.0
17,4746,312.62,116.35,23.0,334.0,694.0,0.0
18,4746,306.11,115.81,24.0,322.0,693.0,0.0
19,4746,341.76,131.42,23.0,356.0,780.0,0.0
2,4746,371.24,132.54,28.0,404.0,782.0,0.0
20,4746,345.99,134.79,23.0,356.0,744.0,0.0
21,4746,337.84,136.72,20.0,341.0,919.0,0.0
22,4746,331.5,130.7,21.0,342.0,806.0,0.0
23,4746,334.59,130.09,23.0,348.0,864.0,0.0
3,4746,366.99,135.14,24.0,383.0,740.0,0.0
4,4746,361.81,130.33,24.0,379.0,857.0,0.0
5,4746,367.42,135.5,23.0,372.0,844.0,0.0
6,4746,385.72,134.88,26.0,397.0,868.0,0.0
7,4746,356.94,129.49,21.0,356.0,915.0,0.0
8,4746,367.2,128.24,26.0,374.5,857.0,0.0
9,4746,389.91,144.36,24.0,401.5,944.0,0.0
