month,count,mean,std,min,median,max,missing_pct
1,10416,379.4,121.55,62.0,384.0,812.0,0.0
10,8928,395.45,115.5,81.0,385.0,927.0,0.0
11,8640,362.27,117.83,62.0,361.0,919.0,0.0
12,8928,369.51,111.41,83.0,367.0,842.0,0.0
2,9504,368.64,123.07,100.0,371.0,859.0,0.0
3,10416,359.8,124.38,28.0,363.0,889.0,0.0
4,10080,329.08,133.08,32.0,347.0,750.0,0.0
5,10416,289.3,153.48,20.0,327.0,736.0,0.0
6,10080,324.47,146.86,30.0,349.0,741.0,0.0
7,8928,364.52,156.01,27.0,392.0,777.0,0.0
8,8928,383.6,141.72,57.0,400.0,875.0,0.0
9,8640,391.02,128.67,56.0,389.0,981.0,0.0
