mae,rmse,r2,mape,model,horizon,baseline_type
57.4815,73.2309,0.5308,17.7838,Naive Persistence (1h),1,naive_persistence
71.3281,90.8556,0.2794,22.9931,Naive Persistence (6h),6,naive_persistence
78.6525,98.9349,0.1477,26.1297,Naive Persistence (12h),12,naive_persistence
70.7775,88.8992,0.3141,23.5015,Naive Persistence (24h),24,naive_persistence
72.4309,89.8748,0.2933,23.9528,24h-Ago Persistence (1h),1,lag24h_persistence
80.6415,100.4994,0.1183,27.1327,24h-Ago Persistence (6h),6,lag24h_persistence
85.7562,106.2494,0.0171,29.0334,24h-Ago Persistence (12h),12,lag24h_persistence
75.2228,93.9125,0.2346,24.8759,24h-Ago Persistence (24h),24,lag24h_persistence
87.7653,108.8856,-0.0373,28.1248,Historical Hourly Mean (1h),1,historical_mean
92.6824,116.3442,-0.1817,29.4202,Historical Hourly Mean (6h),6,historical_mean
92.5475,117.3119,-0.1983,29.3953,Historical Hourly Mean (12h),12,historical_mean
85.5007,106.9359,0.0075,27.5867,Historical Hourly Mean (24h),24,historical_mean
