model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,12,zone,US-MIDA-PJM,2184,20.5608,35.6636,-0.4235,-42.3%,True
xgboost,12,zone,US-NW-PACW,2184,50.7664,35.6636,0.4235,+42.3%,True
xgboost,12,season,Fall,2928,35.7362,35.6636,0.002,+0.2%,False
xgboost,12,season,Winter,1440,35.5159,35.6636,-0.0041,-0.4%,False
xgboost,12,carbon_bucket,High (350-500),1681,24.9544,35.6636,-0.3003,-30.0%,True
xgboost,12,carbon_bucket,Low (100-200),476,51.9941,35.6636,0.4579,+45.8%,True
xgboost,12,carbon_bucket,Medium (200-350),1909,42.7469,35.6636,0.1986,+19.9%,False
xgboost,12,carbon_bucket,Very High (500+),267,20.0203,35.6636,-0.4386,-43.9%,True
xgboost,12,carbon_bucket,Very Low (0-100),35,60.9082,35.6636,0.7079,+70.8%,True
xgboost,12,weather_condition,Cold (< 5C),996,25.9341,35.6636,-0.2728,-27.3%,True
xgboost,12,weather_condition,Mild (5-20C),3251,38.9139,35.6636,0.0911,+9.1%,False
xgboost,12,weather_condition,Hot (>= 20C),121,28.421,35.6636,-0.2031,-20.3%,True
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,34.674,35.6636,-0.0277,-2.8%,False
xgboost,12,weather_condition,Calm (< 10 m/s),940,39.2722,35.6636,0.1012,+10.1%,False
xgboost,12,weather_condition,Overcast (>= 75%),2592,37.9516,35.6636,0.0642,+6.4%,False
xgboost,12,weather_condition,Clear (< 25%),1147,29.6846,35.6636,-0.1676,-16.8%,False
