model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost_mitigated,12,zone,US-MIDA-PJM,2184,29.8885,40.4833,-0.2617,-26.2%,True
xgboost_mitigated,12,zone,US-NW-PACW,2184,51.0781,40.4833,0.2617,+26.2%,True
xgboost_mitigated,12,season,Fall,2928,41.2213,40.4833,0.0182,+1.8%,False
xgboost_mitigated,12,season,Winter,1440,38.9826,40.4833,-0.0371,-3.7%,False
xgboost_mitigated,12,carbon_bucket,High (350-500),1681,32.8547,40.4833,-0.1884,-18.8%,False
xgboost_mitigated,12,carbon_bucket,Low (100-200),476,51.8206,40.4833,0.28,+28.0%,True
xgboost_mitigated,12,carbon_bucket,Medium (200-350),1909,45.3627,40.4833,0.1205,+12.1%,False
xgboost_mitigated,12,carbon_bucket,Very High (500+),267,30.5624,40.4833,-0.2451,-24.5%,True
xgboost_mitigated,12,carbon_bucket,Very Low (0-100),35,62.2274,40.4833,0.5371,+53.7%,True
xgboost_mitigated,12,weather_condition,Cold (< 5C),996,33.0738,40.4833,-0.183,-18.3%,False
xgboost_mitigated,12,weather_condition,Mild (5-20C),3251,42.941,40.4833,0.0607,+6.1%,False
xgboost_mitigated,12,weather_condition,Hot (>= 20C),121,35.4392,40.4833,-0.1246,-12.5%,False
xgboost_mitigated,12,weather_condition,Windy (>= 10 m/s),3428,39.3766,40.4833,-0.0273,-2.7%,False
xgboost_mitigated,12,weather_condition,Calm (< 10 m/s),940,44.519,40.4833,0.0997,+10.0%,False
xgboost_mitigated,12,weather_condition,Overcast (>= 75%),2592,42.7266,40.4833,0.0554,+5.5%,False
xgboost_mitigated,12,weather_condition,Clear (< 25%),1147,35.5603,40.4833,-0.1216,-12.2%,False
