slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,35.5831,0.8076,37.0337,0.7976,-1.4506000000000014,-4.08,lightgbm,6
zone,US-MIDA-PJM,26.0598,0.7911,29.5055,0.7393,-3.445700000000002,-13.22,lightgbm,6
zone,US-NW-PACW,45.1064,0.5551,44.5619,0.561,0.5444999999999993,1.21,lightgbm,6
season,Fall,35.8322,0.7236,37.3955,0.7087,-1.5632999999999981,-4.36,lightgbm,6
season,Winter,35.0766,0.8833,36.298,0.8777,-1.2214000000000027,-3.48,lightgbm,6
carbon_bucket,High (350-500),30.1335,0.7689,33.0091,0.732,-2.875599999999995,-9.54,lightgbm,6
carbon_bucket,Low (100-200),40.3899,0.3616,38.9712,0.3904,1.418699999999994,3.51,lightgbm,6
carbon_bucket,Medium (200-350),39.9405,0.6844,40.8723,0.678,-0.9318000000000026,-2.33,lightgbm,6
carbon_bucket,Very High (500+),26.841,0.8188,28.1373,0.8065,-1.2962999999999987,-4.83,lightgbm,6
carbon_bucket,Very Low (0-100),60.9727,-0.0339,62.472,-0.0924,-1.499299999999998,-2.46,lightgbm,6
weather_condition,Cold (< 5C),32.2307,0.8464,34.5119,0.8304,-2.2811999999999983,-7.08,lightgbm,6
weather_condition,Mild (5-20C),36.8133,0.7709,37.9938,0.762,-1.180500000000002,-3.21,lightgbm,6
weather_condition,Hot (>= 20C),30.1261,0.79,31.9948,0.7706,-1.8687000000000005,-6.2,lightgbm,6
weather_condition,Windy (>= 10 m/s),34.5885,0.8215,36.1174,0.8116,-1.5289000000000001,-4.42,lightgbm,6
weather_condition,Calm (< 10 m/s),39.2104,0.7289,40.3754,0.7174,-1.1649999999999991,-2.97,lightgbm,6
weather_condition,Overcast (>= 75%),38.487,0.7786,39.3387,0.7721,-0.851700000000001,-2.21,lightgbm,6
weather_condition,Clear (< 25%),30.6424,0.816,33.583,0.7896,-2.9406,-9.6,lightgbm,6
