slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,39.9707,0.7579,40.4833,0.7562,-0.5125999999999991,-1.28,xgboost,12
zone,US-MIDA-PJM,27.488,0.7716,29.8885,0.7306,-2.400500000000001,-8.73,xgboost,12
zone,US-NW-PACW,52.4535,0.4132,51.0781,0.4368,1.375399999999999,2.62,xgboost,12
season,Fall,40.3891,0.652,41.2213,0.6465,-0.8322000000000003,-2.06,xgboost,12
season,Winter,39.1201,0.853,38.9826,0.8548,0.13750000000000284,0.35,xgboost,12
carbon_bucket,High (350-500),31.3674,0.7664,32.8547,0.753,-1.4873000000000012,-4.74,xgboost,12
carbon_bucket,Low (100-200),55.0655,0.3482,51.8206,0.4045,3.2449000000000012,5.89,xgboost,12
carbon_bucket,Medium (200-350),44.8399,0.6433,45.3627,0.6382,-0.5227999999999966,-1.17,xgboost,12
carbon_bucket,Very High (500+),28.7313,0.8066,30.5624,0.7788,-1.8310999999999993,-6.37,xgboost,12
carbon_bucket,Very Low (0-100),68.0476,-0.2575,62.2274,-0.0852,5.8202,8.55,xgboost,12
weather_condition,Cold (< 5C),31.6557,0.8607,33.0738,0.8486,-1.418099999999999,-4.48,xgboost,12
weather_condition,Mild (5-20C),42.7967,0.6961,42.941,0.6988,-0.1443000000000012,-0.34,xgboost,12
weather_condition,Hot (>= 20C),32.4889,0.7535,35.4392,0.7192,-2.9502999999999986,-9.08,xgboost,12
weather_condition,Windy (>= 10 m/s),38.6389,0.776,39.3766,0.7734,-0.7377000000000038,-1.91,xgboost,12
weather_condition,Calm (< 10 m/s),44.8278,0.6765,44.519,0.6781,0.30880000000000507,0.69,xgboost,12
weather_condition,Overcast (>= 75%),42.8643,0.7422,42.7266,0.7473,0.13770000000000238,0.32,xgboost,12
weather_condition,Clear (< 25%),33.4718,0.738,35.5603,0.7101,-2.0884999999999962,-6.24,xgboost,12
