model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost_mitigated,6,overall,all,4368,35.7462,47.1642,0.8058,13.0664
xgboost_mitigated,6,zone,US-MIDA-PJM,2184,26.8947,34.0371,0.7805,6.5726
xgboost_mitigated,6,zone,US-NW-PACW,2184,44.5978,57.3619,0.5571,19.5602
xgboost_mitigated,6,season,Fall,2928,35.9079,47.673,0.7243,11.3752
xgboost_mitigated,6,season,Winter,1440,35.4174,46.1122,0.879,16.5053
xgboost_mitigated,6,carbon_bucket,High (350-500),1681,30.7883,40.3114,0.762,8.1998
xgboost_mitigated,6,carbon_bucket,Low (100-200),476,39.6097,51.3311,0.3681,22.424
xgboost_mitigated,6,carbon_bucket,Medium (200-350),1909,39.7751,52.3022,0.6853,14.6839
xgboost_mitigated,6,carbon_bucket,Very High (500+),267,26.611,34.0011,0.825,6.4106
xgboost_mitigated,6,carbon_bucket,Very Low (0-100),35,71.2674,75.5578,-0.3703,82.0908
xgboost_mitigated,6,weather_condition,Cold (< 5C),996,32.5328,43.2472,0.8426,11.2536
xgboost_mitigated,6,weather_condition,Mild (5-20C),3251,36.9445,48.6308,0.7691,13.8107
xgboost_mitigated,6,weather_condition,Hot (>= 20C),121,30.0017,36.9412,0.807,7.9918
xgboost_mitigated,6,weather_condition,Windy (>= 10 m/s),3428,34.9581,46.2055,0.8184,12.7402
xgboost_mitigated,6,weather_condition,Calm (< 10 m/s),940,38.6204,50.5061,0.733,14.256
xgboost_mitigated,6,weather_condition,Overcast (>= 75%),2592,38.3863,50.825,0.7772,14.7917
xgboost_mitigated,6,weather_condition,Clear (< 25%),1147,31.1183,39.745,0.8162,9.0183
