feature,importance
carbon_change_1h,726
hour_cos,638
hour_of_day,565
day_of_year,501
total_load_mw_std_4h,479
hour_sin,458
carbon_intensity_fossil_gco2_per_kwh,433
carbon_intensity_gco2_per_kwh_std_4h,362
carbon_intensity_gco2_per_kwh_lag_3h,353
total_load_mw_min_24h,332
day_of_month,324
carbon_intensity_gco2_per_kwh_max_24h,301
carbon_intensity_gco2_per_kwh_min_24h,296
carbon_free_energy_pct,296
temperature_2m_c_min_24h,275
temperature_2m_c_max_24h,266
carbon_intensity_gco2_per_kwh_lag_24h,255
carbon_intensity_gco2_per_kwh_lag_168h,248
carbon_intensity_gco2_per_kwh_std_12h,245
total_load_mw,240
carbon_intensity_gco2_per_kwh_min_4h,227
total_load_mw_max_24h,224
carbon_intensity_gco2_per_kwh_std_24h,222
net_load_mw,218
temperature_2m_c_std_24h,218
carbon_intensity_gco2_per_kwh_lag_6h,217
total_load_mw_lag_6h,207
total_load_mw_lag_168h,203
total_load_mw_lag_24h,182
carbon_intensity_gco2_per_kwh_lag_1h,179
carbon_intensity_gco2_per_kwh_max_12h,177
total_load_mw_lag_1h,165
carbon_intensity_gco2_per_kwh_mean_24h,164
carbon_intensity_gco2_per_kwh_mean_4h,157
week_of_year,154
total_load_mw_lag_3h,154
total_load_mw_mean_24h,154
temperature_2m_c_min_12h,151
total_load_mw_min_4h,148
carbon_intensity_gco2_per_kwh_min_12h,148
total_load_mw_min_12h,146
clean_energy_score,146
load_variability,146
total_load_mw_std_12h,135
year,131
day_of_week,129
wind_speed_100m_ms_lag_168h,126
temperature_2m_c_lag_168h,120
wind_speed_100m_ms,112
wind_speed_100m_ms_lag_24h,109
wind_speed_100m_ms_lag_6h,106
temperature_2m_c_max_12h,106
temperature_2m_c_mean_24h,105
renewable_energy_pct,105
month_sin,104
dow_sin,103
total_load_mw_max_12h,99
carbon_intensity_gco2_per_kwh_max_4h,96
dow_cos,95
wind_speed_100m_ms_lag_1h,94
carbon_intensity_gco2_per_kwh_mean_12h,85
month_cos,78
temperature_2m_c_std_12h,76
total_load_mw_std_24h,76
temperature_2m_c_lag_24h,73
temp_demand_proxy,73
total_load_mw_max_4h,70
temperature_2m_c_lag_6h,68
total_load_mw_mean_4h,67
wind_speed_100m_ms_lag_3h,61
total_load_mw_mean_12h,58
temperature_2m_c_mean_12h,57
cloud_cover_pct,49
temperature_2m_c,48
rain_mm,47
temperature_2m_c_std_4h,46
temperature_2m_c_min_4h,46
temperature_2m_c_max_4h,42
solar_potential,42
shortwave_radiation_wm2,41
temperature_2m_c_lag_3h,40
month,22
temperature_2m_c_lag_1h,15
temperature_2m_c_mean_4h,14
weather_code,10
is_daytime,9
snowfall_cm,7
is_weekend,1
quarter,1
zone_US-MIDA-PJM,0
zone_US-NW-PACW,0
