feature,importance
clean_energy_score,0.44617474
renewable_energy_pct,0.16629471
carbon_intensity_gco2_per_kwh_min_4h,0.09237937
carbon_intensity_gco2_per_kwh_mean_24h,0.089395024
carbon_intensity_gco2_per_kwh_max_24h,0.022100106
carbon_intensity_gco2_per_kwh_max_12h,0.019131776
carbon_intensity_gco2_per_kwh_mean_4h,0.011787595
carbon_free_energy_pct,0.010578039
carbon_intensity_gco2_per_kwh_lag_1h,0.0059893085
carbon_intensity_gco2_per_kwh_max_4h,0.0057404716
month_cos,0.0056809774
hour_of_day,0.0051132315
total_load_mw_max_24h,0.004154019
net_load_mw,0.0039390023
carbon_intensity_gco2_per_kwh_min_24h,0.0038783178
carbon_intensity_gco2_per_kwh_lag_24h,0.0037675404
hour_sin,0.003687992
hour_cos,0.0034580685
total_load_mw_min_4h,0.0032346838
total_load_mw_min_12h,0.0031769513
total_load_mw,0.0030219047
week_of_year,0.00281478
month_sin,0.0027977685
is_daytime,0.002572133
year,0.0025198369
carbon_intensity_gco2_per_kwh_lag_3h,0.002359601
carbon_intensity_gco2_per_kwh_lag_168h,0.00235229
carbon_change_1h,0.002340366
carbon_intensity_gco2_per_kwh_std_12h,0.0022848868
total_load_mw_max_12h,0.0021217784
total_load_mw_std_4h,0.0021207558
carbon_intensity_fossil_gco2_per_kwh,0.001947861
carbon_intensity_gco2_per_kwh_std_4h,0.0019289574
dow_cos,0.0018266913
day_of_year,0.0018219666
total_load_mw_lag_168h,0.0018008616
temperature_2m_c_min_4h,0.0017715396
rain_mm,0.0017533865
temperature_2m_c_max_12h,0.0017367485
total_load_mw_std_12h,0.0016365207
total_load_mw_lag_3h,0.0016318879
total_load_mw_lag_1h,0.0015641244
carbon_intensity_gco2_per_kwh_lag_6h,0.0015550316
temperature_2m_c_lag_3h,0.0014896699
carbon_intensity_gco2_per_kwh_min_12h,0.0014617009
total_load_mw_lag_24h,0.0014264389
total_load_mw_lag_6h,0.0014086897
carbon_intensity_gco2_per_kwh_std_24h,0.0013468558
temperature_2m_c_mean_4h,0.0013377375
temperature_2m_c_min_24h,0.00133269
temperature_2m_c_mean_24h,0.0013206664
total_load_mw_min_24h,0.0012797542
temperature_2m_c_max_4h,0.0012727529
dow_sin,0.0012726828
month,0.0012288998
temperature_2m_c_min_12h,0.001182687
temperature_2m_c_std_24h,0.0011519082
day_of_week,0.0011512792
total_load_mw_max_4h,0.0010483374
total_load_mw_std_24h,0.0010319077
temperature_2m_c_max_24h,0.0010212428
temperature_2m_c_mean_12h,0.0010108496
carbon_intensity_gco2_per_kwh_mean_12h,0.0009915795
temperature_2m_c_lag_6h,0.0009669201
day_of_month,0.0009586379
total_load_mw_mean_4h,0.0009533369
shortwave_radiation_wm2,0.000936946
temperature_2m_c_lag_1h,0.0008974389
solar_potential,0.0008786539
total_load_mw_mean_24h,0.00083151634
temp_demand_proxy,0.00082132214
total_load_mw_mean_12h,0.0007953083
weather_code,0.00076756586
load_variability,0.00076622155
wind_speed_100m_ms,0.00072770333
temperature_2m_c_lag_168h,0.0007139385
temperature_2m_c,0.0006300018
wind_speed_100m_ms_lag_1h,0.0006203843
temperature_2m_c_std_12h,0.00058341894
temperature_2m_c_lag_24h,0.0005749876
wind_speed_100m_ms_lag_168h,0.000557464
wind_speed_100m_ms_lag_24h,0.0005412996
wind_speed_100m_ms_lag_6h,0.00052846543
cloud_cover_pct,0.00051793223
wind_speed_100m_ms_lag_3h,0.00047390434
temperature_2m_c_std_4h,0.00042614123
snowfall_cm,0.00033676883
is_weekend,0.00028103855
quarter,0.00020067614
zone_US-MIDA-PJM,0.0
zone_US-NW-PACW,0.0
