feature,importance
carbon_intensity_gco2_per_kwh_mean_24h,0.5614428
carbon_intensity_gco2_per_kwh_min_24h,0.13773526
carbon_intensity_gco2_per_kwh_max_24h,0.030639462
carbon_free_energy_pct,0.028700033
clean_energy_score,0.02076243
carbon_intensity_gco2_per_kwh_min_4h,0.014169044
hour_of_day,0.008709703
shortwave_radiation_wm2,0.007771399
total_load_mw_max_24h,0.0072699753
temp_demand_proxy,0.0072584944
is_daytime,0.0071344315
total_load_mw_mean_24h,0.0071269083
hour_cos,0.006859047
carbon_intensity_gco2_per_kwh_mean_4h,0.0067505264
carbon_change_1h,0.0052790623
hour_sin,0.004856623
total_load_mw,0.004058928
carbon_intensity_gco2_per_kwh_max_4h,0.0037608154
carbon_intensity_gco2_per_kwh_std_4h,0.0035789758
carbon_intensity_fossil_gco2_per_kwh,0.0035205178
month_sin,0.0034834058
total_load_mw_max_12h,0.003412511
month_cos,0.0033608344
year,0.0032322316
net_load_mw,0.003118482
carbon_intensity_gco2_per_kwh_lag_3h,0.0029468122
total_load_mw_lag_1h,0.0028316937
total_load_mw_std_4h,0.0028188769
carbon_intensity_gco2_per_kwh_std_24h,0.0027110633
total_load_mw_mean_12h,0.0026804446
carbon_intensity_gco2_per_kwh_lag_168h,0.0026710592
carbon_intensity_gco2_per_kwh_lag_1h,0.002654537
carbon_intensity_gco2_per_kwh_lag_6h,0.002654013
renewable_energy_pct,0.0025366785
total_load_mw_lag_3h,0.0024882446
carbon_intensity_gco2_per_kwh_min_12h,0.0023394767
is_weekend,0.0023285677
total_load_mw_min_12h,0.0023090625
carbon_intensity_gco2_per_kwh_std_12h,0.0022747454
week_of_year,0.002177422
carbon_intensity_gco2_per_kwh_lag_24h,0.0021657313
carbon_intensity_gco2_per_kwh_max_12h,0.0021401895
total_load_mw_std_12h,0.002088467
total_load_mw_lag_24h,0.0020416162
temperature_2m_c_max_4h,0.002009519
temperature_2m_c_lag_24h,0.0019988467
total_load_mw_lag_6h,0.0019829199
carbon_intensity_gco2_per_kwh_mean_12h,0.00191827
total_load_mw_mean_4h,0.00190224
temperature_2m_c_max_24h,0.0018867655
temperature_2m_c_min_12h,0.00186325
total_load_mw_min_4h,0.0017897575
total_load_mw_min_24h,0.0017772415
total_load_mw_lag_168h,0.0017417244
temperature_2m_c_lag_1h,0.0016250538
temperature_2m_c,0.0015861097
temperature_2m_c_max_12h,0.0015833447
temperature_2m_c_min_4h,0.0015788276
day_of_week,0.0015613242
temperature_2m_c_lag_3h,0.0015510891
temperature_2m_c_mean_4h,0.0014876834
temperature_2m_c_min_24h,0.0014722226
total_load_mw_max_4h,0.0014528013
temperature_2m_c_lag_168h,0.0014265832
day_of_year,0.0014242494
cloud_cover_pct,0.0013672711
temperature_2m_c_mean_24h,0.001290106
solar_potential,0.0012779982
load_variability,0.0012696405
dow_sin,0.0012491532
total_load_mw_std_24h,0.0012433644
temperature_2m_c_lag_6h,0.0012066505
temperature_2m_c_mean_12h,0.0011899339
temperature_2m_c_std_12h,0.001132882
wind_speed_100m_ms,0.0010463829
weather_code,0.0010425663
temperature_2m_c_std_4h,0.0010002155
temperature_2m_c_std_24h,0.00093135337
day_of_month,0.0009051984
wind_speed_100m_ms_lag_3h,0.00089459185
wind_speed_100m_ms_lag_6h,0.0008866572
wind_speed_100m_ms_lag_24h,0.0008196758
wind_speed_100m_ms_lag_168h,0.0008135271
month,0.00079216674
wind_speed_100m_ms_lag_1h,0.0007863397
dow_cos,0.0007549977
snowfall_cm,0.0006829525
rain_mm,0.0006602755
quarter,0.0002857646
zone_US-MIDA-PJM,0.0
zone_US-NW-PACW,0.0
