feature,importance
clean_energy_score,0.42820746
renewable_energy_pct,0.17489952
carbon_intensity_gco2_per_kwh_mean_24h,0.0698194
carbon_intensity_gco2_per_kwh_min_4h,0.06712755
carbon_intensity_gco2_per_kwh_mean_4h,0.02042413
carbon_intensity_gco2_per_kwh_max_12h,0.019294938
carbon_intensity_gco2_per_kwh_max_24h,0.015704012
total_load_mw_mean_12h,0.011605702
carbon_free_energy_pct,0.00950312
carbon_intensity_gco2_per_kwh_max_4h,0.009385976
month_cos,0.0075007086
total_load_mw_min_4h,0.005797793
hour_of_day,0.0056219515
hour_sin,0.005424138
carbon_intensity_gco2_per_kwh_lag_24h,0.0046651363
month_sin,0.0046615615
hour_cos,0.0044521377
total_load_mw_max_24h,0.004384325
carbon_change_1h,0.0040879445
carbon_intensity_gco2_per_kwh_min_24h,0.004070046
year,0.003968151
is_daytime,0.0036771125
net_load_mw,0.0035629075
carbon_intensity_gco2_per_kwh_lag_3h,0.0035276157
week_of_year,0.0033698762
total_load_mw_std_4h,0.0033548116
carbon_intensity_gco2_per_kwh_lag_168h,0.0030252542
temperature_2m_c_min_4h,0.0030092292
month,0.0029980596
carbon_intensity_gco2_per_kwh_std_4h,0.0029707504
total_load_mw,0.0029604426
total_load_mw_min_12h,0.0029095332
carbon_intensity_gco2_per_kwh_std_12h,0.002814296
carbon_intensity_fossil_gco2_per_kwh,0.0026996452
temperature_2m_c_max_12h,0.0026314089
carbon_intensity_gco2_per_kwh_lag_1h,0.0026268917
rain_mm,0.0025158303
total_load_mw_lag_168h,0.0023081342
day_of_year,0.0022724962
temperature_2m_c_lag_3h,0.00221158
dow_cos,0.0020980334
temperature_2m_c_std_24h,0.0020893451
total_load_mw_min_24h,0.0020555991
temperature_2m_c_mean_12h,0.0020414148
total_load_mw_lag_3h,0.0019174047
dow_sin,0.0019125285
carbon_intensity_gco2_per_kwh_lag_6h,0.0018533214
temperature_2m_c_min_12h,0.0018498385
total_load_mw_lag_6h,0.001845141
temperature_2m_c_mean_4h,0.0017508422
temperature_2m_c_lag_6h,0.0017468424
total_load_mw_std_12h,0.0017189811
total_load_mw_lag_24h,0.0016507655
total_load_mw_lag_1h,0.0016340929
temperature_2m_c_mean_24h,0.0015833518
solar_potential,0.0015604284
day_of_week,0.00154435
carbon_intensity_gco2_per_kwh_std_24h,0.0014928367
temperature_2m_c_min_24h,0.0014761633
total_load_mw_mean_24h,0.0014727395
temperature_2m_c_max_24h,0.0014212515
total_load_mw_max_4h,0.0014199148
day_of_month,0.0014065069
total_load_mw_mean_4h,0.0013605598
weather_code,0.0013531547
carbon_intensity_gco2_per_kwh_min_12h,0.0013085933
carbon_intensity_gco2_per_kwh_mean_12h,0.001289109
load_variability,0.0012855092
total_load_mw_max_12h,0.0012536776
total_load_mw_std_24h,0.0011499446
temperature_2m_c_lag_1h,0.0010786774
temperature_2m_c_max_4h,0.0010359616
temperature_2m_c_std_12h,0.001020332
wind_speed_100m_ms,0.0009767633
wind_speed_100m_ms_lag_1h,0.0009478734
temperature_2m_c_lag_24h,0.0009194231
wind_speed_100m_ms_lag_24h,0.0008994806
temperature_2m_c_lag_168h,0.0008875959
temperature_2m_c,0.00087253464
wind_speed_100m_ms_lag_168h,0.0008355607
cloud_cover_pct,0.00082380214
shortwave_radiation_wm2,0.00082030665
wind_speed_100m_ms_lag_6h,0.0007818277
snowfall_cm,0.0007569985
temp_demand_proxy,0.0007512594
wind_speed_100m_ms_lag_3h,0.00074073684
temperature_2m_c_std_4h,0.0006296998
is_weekend,0.00050826074
quarter,0.00011900959
zone_US-MIDA-PJM,0.0
zone_US-NW-PACW,0.0
