feature,importance
carbon_change_1h,1416
hour_cos,928
hour_of_day,872
carbon_intensity_fossil_gco2_per_kwh,852
hour_sin,756
total_load_mw_std_4h,687
carbon_intensity_gco2_per_kwh_std_4h,562
carbon_free_energy_pct,545
carbon_intensity_gco2_per_kwh_lag_3h,442
total_load_mw_lag_6h,421
total_load_mw,419
carbon_intensity_gco2_per_kwh_lag_6h,407
total_load_mw_lag_1h,381
carbon_intensity_gco2_per_kwh_lag_1h,375
carbon_intensity_gco2_per_kwh_lag_24h,366
total_load_mw_lag_3h,341
net_load_mw,318
total_load_mw_lag_24h,317
total_load_mw_lag_168h,292
carbon_intensity_gco2_per_kwh_std_12h,288
carbon_intensity_gco2_per_kwh_lag_168h,285
clean_energy_score,267
renewable_energy_pct,239
carbon_intensity_gco2_per_kwh_min_4h,208
carbon_intensity_gco2_per_kwh_max_4h,181
carbon_intensity_gco2_per_kwh_mean_4h,152
carbon_intensity_gco2_per_kwh_std_24h,150
total_load_mw_max_4h,138
total_load_mw_std_12h,131
load_variability,127
total_load_mw_min_4h,123
total_load_mw_min_24h,122
carbon_intensity_gco2_per_kwh_min_12h,106
carbon_intensity_gco2_per_kwh_min_24h,90
carbon_intensity_gco2_per_kwh_max_24h,89
total_load_mw_min_12h,83
carbon_intensity_gco2_per_kwh_mean_12h,72
carbon_intensity_gco2_per_kwh_mean_24h,68
carbon_intensity_gco2_per_kwh_max_12h,65
is_daytime,59
wind_speed_100m_ms_lag_6h,58
shortwave_radiation_wm2,58
temperature_2m_c_std_12h,52
total_load_mw_mean_4h,50
temperature_2m_c_std_4h,47
temp_demand_proxy,46
total_load_mw_max_12h,43
year,42
temperature_2m_c_std_24h,42
wind_speed_100m_ms_lag_24h,41
day_of_year,41
wind_speed_100m_ms_lag_1h,41
total_load_mw_mean_12h,40
temperature_2m_c_lag_3h,37
total_load_mw_std_24h,36
total_load_mw_mean_24h,36
wind_speed_100m_ms_lag_168h,33
temperature_2m_c_lag_168h,32
total_load_mw_max_24h,32
month_sin,30
temperature_2m_c_lag_6h,28
wind_speed_100m_ms,27
temperature_2m_c_min_12h,24
temperature_2m_c_mean_4h,22
temperature_2m_c_mean_24h,22
temperature_2m_c_max_24h,20
week_of_year,20
temperature_2m_c_mean_12h,20
solar_potential,20
temperature_2m_c_lag_24h,19
wind_speed_100m_ms_lag_3h,18
temperature_2m_c_max_4h,17
temperature_2m_c,17
temperature_2m_c_max_12h,16
temperature_2m_c_min_24h,16
temperature_2m_c_lag_1h,14
cloud_cover_pct,13
day_of_month,13
day_of_week,12
temperature_2m_c_min_4h,10
dow_sin,5
month_cos,5
snowfall_cm,5
dow_cos,4
weather_code,1
rain_mm,1
month,1
is_weekend,0
quarter,0
zone_US-MIDA-PJM,0
zone_US-NW-PACW,0
