time,temperature_2m,relative_humidity_2m,rain,snowfall,wind_speed_10m,wind_speed_100m,cloud_cover,weather_code,precipitation,pressure_msl,surface_pressure,shortwave_radiation,vapour_pressure_deficit,direct_radiation
2024-01-08 00:00:00+00:00,2.5,75,0.0,0.0,17.6,31.1,3,0,0.0,1021.4,1014.3,0.0,0.18,0.0
2024-01-08 01:00:00+00:00,2.3,75,0.0,0.0,17.9,31.8,5,0,0.0,1022.3,1015.2,0.0,0.18,0.0
2024-01-08 02:00:00+00:00,2.0,75,0.0,0.0,18.0,31.6,14,0,0.0,1023.4,1016.3,0.0,0.17,0.0
2024-01-08 03:00:00+00:00,1.9,76,0.0,0.0,16.6,29.9,18,0,0.0,1024.5,1017.4,0.0,0.16,0.0
2024-01-08 04:00:00+00:00,1.5,78,0.0,0.0,16.5,30.1,19,0,0.0,1024.9,1017.8,0.0,0.15,0.0
2024-01-08 05:00:00+00:00,1.5,79,0.0,0.0,16.3,29.8,2,0,0.0,1025.8,1018.7,0.0,0.15,0.0
2024-01-08 06:00:00+00:00,1.2,80,0.0,0.0,16.6,30.6,1,0,0.0,1026.6,1019.5,0.0,0.13,0.0
2024-01-08 07:00:00+00:00,1.0,80,0.0,0.0,15.3,28.6,2,0,0.0,1027.8,1020.7,0.0,0.13,0.0
2024-01-08 08:00:00+00:00,2.8,74,0.0,0.0,13.2,24.5,10,0,0.0,1028.9,1021.8,8.0,0.2,2.0
2024-01-08 09:00:00+00:00,3.7,72,0.0,0.0,13.0,21.8,0,0,0.0,1029.9,1022.8,118.0,0.22,74.0
2024-01-08 10:00:00+00:00,5.1,68,0.0,0.0,10.6,16.0,4,0,0.0,1030.9,1023.8,272.0,0.28,211.0
2024-01-08 11:00:00+00:00,6.2,59,0.0,0.0,11.2,15.6,91,3,0.0,1031.3,1024.3,381.0,0.39,295.0
2024-01-08 12:00:00+00:00,7.2,52,0.0,0.0,8.1,11.4,69,2,0.0,1031.0,1024.0,427.0,0.49,320.0
2024-01-08 13:00:00+00:00,7.7,50,0.0,0.0,4.3,5.8,10,0,0.0,1030.2,1023.2,442.0,0.52,318.0
2024-01-08 14:00:00+00:00,7.9,51,0.0,0.0,0.8,0.8,38,1,0.0,1030.1,1023.1,440.0,0.53,356.0
2024-01-08 15:00:00+00:00,7.8,51,0.0,0.0,2.0,2.5,93,3,0.0,1029.9,1022.9,338.0,0.52,265.0
2024-01-08 16:00:00+00:00,7.2,56,0.0,0.0,2.5,3.8,23,1,0.0,1030.1,1023.1,175.0,0.45,98.0
2024-01-08 17:00:00+00:00,5.7,61,0.0,0.0,4.1,4.1,5,0,0.0,1030.2,1023.2,52.0,0.36,29.0
2024-01-08 18:00:00+00:00,4.5,65,0.0,0.0,2.9,3.6,70,2,0.0,1030.5,1023.4,0.0,0.3,0.0
2024-01-08 19:00:00+00:00,2.9,73,0.0,0.0,5.0,9.4,86,3,0.0,1030.3,1023.2,0.0,0.21,0.0
2024-01-08 20:00:00+00:00,1.5,80,0.0,0.0,6.8,12.9,50,2,0.0,1030.4,1023.3,0.0,0.13,0.0
2024-01-08 21:00:00+00:00,0.9,83,0.0,0.0,10.7,21.5,88,3,0.0,1030.3,1023.1,0.0,0.11,0.0
2024-01-08 22:00:00+00:00,0.5,84,0.0,0.0,10.8,22.1,99,3,0.0,1029.7,1022.5,0.0,0.1,0.0
2024-01-08 23:00:00+00:00,0.6,82,0.0,0.0,11.8,24.8,100,3,0.0,1029.4,1022.2,0.0,0.11,0.0
2024-01-09 00:00:00+00:00,1.2,75,0.0,0.0,10.5,23.5,100,3,0.0,1028.8,1021.7,0.0,0.17,0.0
2024-01-09 01:00:00+00:00,1.3,71,0.0,0.0,11.8,24.6,100,3,0.0,1027.8,1020.7,0.0,0.2,0.0
2024-01-09 02:00:00+00:00,1.0,76,0.0,0.0,11.9,24.3,100,3,0.0,1028.0,1020.9,0.0,0.16,0.0
2024-01-09 03:00:00+00:00,1.4,82,0.0,0.0,12.4,24.2,100,3,0.0,1027.6,1020.5,0.0,0.12,0.0
2024-01-09 04:00:00+00:00,1.9,84,0.0,0.0,12.7,24.0,100,3,0.0,1026.9,1019.8,0.0,0.11,0.0
2024-01-09 05:00:00+00:00,2.2,84,0.0,0.0,13.2,24.3,100,3,0.0,1025.3,1018.2,0.0,0.11,0.0
2024-01-09 06:00:00+00:00,2.8,84,0.0,0.0,16.3,29.0,100,3,0.0,1023.5,1016.4,0.0,0.12,0.0
2024-01-09 07:00:00+00:00,3.5,82,0.0,0.0,19.3,33.8,100,3,0.0,1021.8,1014.8,0.0,0.14,0.0
2024-01-09 08:00:00+00:00,2.7,99,1.3,0.0,20.3,36.8,100,61,1.3,1020.8,1013.7,1.0,0.01,0.0
2024-01-09 09:00:00+00:00,3.2,99,1.7,0.0,19.9,36.1,100,61,1.7,1019.7,1012.7,7.0,0.01,0.0
2024-01-09 10:00:00+00:00,4.2,100,2.3,0.0,22.1,39.8,100,61,2.3,1018.3,1011.3,13.0,0.0,0.0
2024-01-09 11:00:00+00:00,5.2,99,3.2,0.0,24.3,43.2,100,63,3.2,1016.3,1009.3,16.0,0.01,0.0
2024-01-09 12:00:00+00:00,6.2,99,2.7,0.0,28.7,49.2,100,63,2.7,1012.6,1005.7,21.0,0.01,0.0
2024-01-09 13:00:00+00:00,7.5,100,2.1,0.0,30.7,52.4,100,61,2.1,1008.6,1001.8,35.0,0.0,0.0
2024-01-09 14:00:00+00:00,8.6,100,2.4,0.0,33.6,56.5,100,61,2.4,1003.8,997.0,46.0,0.0,0.0
2024-01-09 15:00:00+00:00,9.8,100,4.5,0.0,36.8,61.8,100,63,4.5,1000.3,993.6,23.0,0.0,0.0
2024-01-09 16:00:00+00:00,10.7,99,2.0,0.0,37.7,62.5,100,61,2.0,997.9,991.2,16.0,0.01,0.0
2024-01-09 17:00:00+00:00,11.4,99,1.8,0.0,35.5,59.6,100,61,1.8,995.8,989.1,9.0,0.01,0.0
2024-01-09 18:00:00+00:00,12.0,99,3.9,0.0,33.1,55.8,100,63,3.9,993.6,987.0,0.0,0.01,0.0
2024-01-09 19:00:00+00:00,12.4,99,6.6,0.0,30.7,52.1,100,63,6.6,990.8,984.2,0.0,0.01,0.0
2024-01-09 20:00:00+00:00,12.5,100,7.2,0.0,17.9,32.1,100,63,7.2,990.0,983.4,0.0,0.0,0.0
2024-01-09 21:00:00+00:00,12.9,100,1.4,0.0,21.9,39.6,100,61,1.4,987.7,981.1,0.0,0.0,0.0
2024-01-09 22:00:00+00:00,12.9,100,0.3,0.0,16.9,31.7,100,51,0.3,986.2,979.6,0.0,0.0,0.0
2024-01-09 23:00:00+00:00,13.4,97,0.1,0.0,20.6,35.8,31,51,0.1,985.4,978.8,0.0,0.04,0.0
2024-01-10 00:00:00+00:00,11.9,95,0.6,0.0,19.1,34.4,8,53,0.6,986.2,979.6,0.0,0.08,0.0
2024-01-10 01:00:00+00:00,10.9,95,0.0,0.0,17.4,31.7,12,0,0.0,986.9,980.3,0.0,0.06,0.0
