time,temperature_2m,relative_humidity_2m,rain,snowfall,wind_speed_10m,wind_speed_100m,cloud_cover,weather_code,precipitation,pressure_msl,surface_pressure,shortwave_radiation,vapour_pressure_deficit,direct_radiation
2024-07-12 00:00:00+00:00,16.4,62,0.0,0.0,4.3,11.3,0,0,0.0,1018.8,1017.2,0.0,0.71,0.0
2024-07-12 01:00:00+00:00,15.5,67,0.0,0.0,3.8,8.5,0,0,0.0,1018.9,1017.3,0.0,0.59,0.0
2024-07-12 02:00:00+00:00,15.1,70,0.0,0.0,4.6,9.6,0,0,0.0,1018.9,1017.3,0.0,0.52,0.0
2024-07-12 03:00:00+00:00,14.6,74,0.0,0.0,4.7,10.0,1,0,0.0,1019.2,1017.6,0.0,0.42,0.0
2024-07-12 04:00:00+00:00,14.1,80,0.0,0.0,5.5,10.7,14,0,0.0,1019.6,1018.0,0.0,0.32,0.0
2024-07-12 05:00:00+00:00,13.9,82,0.0,0.0,5.9,11.5,33,1,0.0,1019.7,1018.1,3.0,0.29,1.0
2024-07-12 06:00:00+00:00,14.8,77,0.0,0.0,7.2,9.5,46,1,0.0,1019.9,1018.3,65.0,0.39,31.0
2024-07-12 07:00:00+00:00,16.0,71,0.0,0.0,8.3,10.4,75,2,0.0,1019.8,1018.2,168.0,0.53,67.0
2024-07-12 08:00:00+00:00,17.4,66,0.0,0.0,7.9,10.1,54,2,0.0,1019.5,1017.9,309.0,0.67,148.0
2024-07-12 09:00:00+00:00,19.0,60,0.0,0.0,7.6,9.7,24,1,0.0,1018.6,1017.1,466.0,0.88,256.0
2024-07-12 10:00:00+00:00,21.3,53,0.0,0.0,8.3,10.9,7,0,0.0,1017.9,1016.4,688.0,1.2,542.0
2024-07-12 11:00:00+00:00,23.8,46,0.0,0.0,9.8,12.3,1,0,0.0,1017.2,1015.7,832.0,1.6,728.0
2024-07-12 12:00:00+00:00,26.0,40,0.0,0.0,11.6,14.9,0,0,0.0,1016.4,1014.9,901.0,2.01,803.0
2024-07-12 13:00:00+00:00,27.8,36,0.0,0.0,12.7,16.7,0,0,0.0,1015.8,1014.3,915.0,2.38,818.0
2024-07-12 14:00:00+00:00,29.7,33,0.0,0.0,13.4,17.7,0,0,0.0,1015.1,1013.6,877.0,2.79,783.0
2024-07-12 15:00:00+00:00,31.0,30,0.0,0.0,16.3,21.3,0,0,0.0,1014.4,1012.9,791.0,3.13,700.0
2024-07-12 16:00:00+00:00,31.1,30,0.0,0.0,18.9,24.7,0,0,0.0,1013.7,1012.2,663.0,3.17,578.0
2024-07-12 17:00:00+00:00,29.3,34,0.0,0.0,15.2,20.3,0,0,0.0,1014.1,1012.6,507.0,2.67,430.0
2024-07-12 18:00:00+00:00,28.4,37,0.0,0.0,16.3,22.1,0,0,0.0,1014.1,1012.6,332.0,2.45,267.0
2024-07-12 19:00:00+00:00,26.6,42,0.0,0.0,15.8,24.4,0,0,0.0,1014.1,1012.6,162.0,2.01,115.0
2024-07-12 20:00:00+00:00,24.0,51,0.0,0.0,10.8,21.9,0,0,0.0,1014.2,1012.7,32.0,1.46,17.0
2024-07-12 21:00:00+00:00,22.1,58,0.0,0.0,8.7,19.5,8,0,0.0,1014.7,1013.2,0.0,1.12,0.0
2024-07-12 22:00:00+00:00,20.4,63,0.0,0.0,8.1,17.5,27,1,0.0,1015.3,1013.8,0.0,0.9,0.0
2024-07-12 23:00:00+00:00,19.1,65,0.0,0.0,6.6,16.0,0,0,0.0,1015.6,1014.1,0.0,0.78,0.0
